from;to;value
Адыгея;Адыгея;1
Алтай;Адыгея;0,459419096307278
Алтайский край;Адыгея;0,933802352433555
Амурская обл.;Адыгея;0,945553051399738
Архангельская обл.;Адыгея;0,877648861449254
Астраханская обл.;Адыгея;0,980013070168232
Башкортостан;Адыгея;0,975331433960289
Белгородская обл.;Адыгея;0,978403182286274
Брянская обл.;Адыгея;0,360546685651407
Бурятия;Адыгея;-0,292260149747239
Владимирская обл.;Адыгея;0,69090192745887
Волгоградская обл.;Адыгея;0,982900386826884
Вологодская обл.;Адыгея;0,934524516522297
Воронежская обл.;Адыгея;0,957128439805919
Дагестан;Адыгея;0,882103228660754
Еврейская АО;Адыгея;0,971830059158183
Забайкальский край;Адыгея;0,559312114487958
Ивановская обл.;Адыгея;0,987674985227304
Ингушетия;Адыгея;0,968114599966305
Иркутская обл.;Адыгея;0,952650202854562
Кабардино-Балкария;Адыгея;0,983893201766891
Калининградская обл.;Адыгея;0,768312921268675
Калмыкия;Адыгея;0,910881981444024
Калужская обл.;Адыгея;0,893268384069849
Камчатский край;Адыгея;0,896910278665799
Карачаево-Черкессия;Адыгея;0,938135208261773
Карелия;Адыгея;0,666245807996774
Кемеровская обл.;Адыгея;0,832903458581116
Кировская обл.;Адыгея;0,654614842311474
Коми;Адыгея;0,844089395743332
Костромская обл.;Адыгея;0,747351498740185
Краснодарский край;Адыгея;0,964543126169027
Красноярский край;Адыгея;0,921034533947858
Крым;Адыгея;0,773101647062919
Курганская обл.;Адыгея;0,974403211869383
Курская обл.;Адыгея;0,908009265589833
Ленинградская обл.;Адыгея;0,816517150950077
Липецкая обл.;Адыгея;0,943086916336132
Магаданская обл.;Адыгея;0,926299535550563
Марий Эл;Адыгея;0,940351588121082
Мордовия;Адыгея;0,979484906593213
Москва;Адыгея;-0,713649558101915
Московская обл.;Адыгея;-0,134278926468199
Мурманская обл.;Адыгея;0,643584984367174
Ненецкий АО;Адыгея;0,801939027176745
Нижегородская обл.;Адыгея;0,839748160128798
Новгородская обл.;Адыгея;0,872110662846075
Новосибирская обл.;Адыгея;0,819654159458306
Омская обл.;Адыгея;0,96717679056975
Оренбургская обл.;Адыгея;0,973086803035166
Орловская обл.;Адыгея;0,770148722376908
Пензенская обл.;Адыгея;0,968156075149658
Пермский край;Адыгея;0,986507137248706
Приморский край;Адыгея;0,905411253882702
Псковская обл.;Адыгея;0,604479211409809
Ростовская обл.;Адыгея;0,98111776230729
Рязанская обл.;Адыгея;0,802706289055462
Самарская обл.;Адыгея;0,97516369905414
Санкт-Петербург;Адыгея;0,498685877830389
Саратовская обл.;Адыгея;0,978595280653555
Саха (Якутия);Адыгея;0,826229004891061
Сахалинская обл.;Адыгея;0,914108916150999
Свердловская обл.;Адыгея;0,973954245707459
Севастополь;Адыгея;0,864341290649768
Северная Осетия;Адыгея;0,981850781009074
Смоленская обл.;Адыгея;0,189992141536183
Ставропольский край;Адыгея;0,984998479013469
Тамбовская обл.;Адыгея;0,888587242572557
Татарстан;Адыгея;0,91382275810174
Тверская обл.;Адыгея;0,743218986883736
Томская обл.;Адыгея;0,950591834229753
Тульская обл.;Адыгея;0,531827080749701
Тыва;Адыгея;0,64434957908509
Тюменская обл.;Адыгея;0,950689116029426
Удмуртия;Адыгея;0,954944141293817
Ульяновская обл.;Адыгея;0,981537340938387
Хабаровский край;Адыгея;0,8925781332125
Хакасия;Адыгея;0,788462141771951
ХМАО – Югра;Адыгея;0,847179042378809
Челябинская обл.;Адыгея;0,987867951448997
Чечня;Адыгея;0,898604924485041
Чувашия;Адыгея;0,972087811558736
Чукотский АО;Адыгея;0,627050807340486
Ямало-Ненецкий АО;Адыгея;0,931840935516193
Ярославская обл.;Адыгея;0,928717077675428
Адыгея;Алтай;0,459419096307278
Алтай;Алтай;1
Алтайский край;Алтай;0,660706861022438
Амурская обл.;Алтай;0,610807753234826
Архангельская обл.;Алтай;0,508668297629082
Астраханская обл.;Алтай;0,526444035584181
Башкортостан;Алтай;0,391123781407485
Белгородская обл.;Алтай;0,474223217506366
Брянская обл.;Алтай;0,805068867437625
Бурятия;Алтай;0,487745128993132
Владимирская обл.;Алтай;0,792153059316325
Волгоградская обл.;Алтай;0,458667324705814
Вологодская обл.;Алтай;0,628888283888189
Воронежская обл.;Алтай;0,603904626637594
Дагестан;Алтай;0,719184856622823
Еврейская АО;Алтай;0,566916405315502
Забайкальский край;Алтай;0,823451490383165
Ивановская обл.;Алтай;0,479001711038032
Ингушетия;Алтай;0,422084526650752
Иркутская обл.;Алтай;0,614494606796205
Кабардино-Балкария;Алтай;0,536298572145656
Калининградская обл.;Алтай;0,736332101196436
Калмыкия;Алтай;0,706482333978575
Калужская обл.;Алтай;0,719669866949574
Камчатский край;Алтай;0,649871831321256
Карачаево-Черкессия;Алтай;0,627539744946369
Карелия;Алтай;0,756622930822607
Кемеровская обл.;Алтай;0,720812426564924
Кировская обл.;Алтай;0,500538085112229
Коми;Алтай;0,742621989022322
Костромская обл.;Алтай;0,798576446419396
Краснодарский край;Алтай;0,600230830084716
Красноярский край;Алтай;0,673593115845359
Крым;Алтай;0,790852721388258
Курганская обл.;Алтай;0,553320912382321
Курская обл.;Алтай;0,689179703428852
Ленинградская обл.;Алтай;0,772199489417892
Липецкая обл.;Алтай;0,598888648646401
Магаданская обл.;Алтай;0,665336963357538
Марий Эл;Алтай;0,629515206050319
Мордовия;Алтай;0,536381199300229
Москва;Алтай;0,032282117065814
Московская обл.;Алтай;0,601878417127204
Мурманская обл.;Алтай;0,846506232524714
Ненецкий АО;Алтай;0,616004445206963
Нижегородская обл.;Алтай;0,767861998449243
Новгородская обл.;Алтай;0,681323280704744
Новосибирская обл.;Алтай;0,722902846341675
Омская обл.;Алтай;0,572944499794733
