from;to;value
Адыгея;Адыгея;1
Алтай;Адыгея;0,719196865767554
Алтайский край;Адыгея;0,896633526010987
Амурская обл.;Адыгея;0,946638304914365
Архангельская обл.;Адыгея;0,957422879742072
Астраханская обл.;Адыгея;0,783017142389874
Башкортостан;Адыгея;0,394485905084957
Белгородская обл.;Адыгея;0,790772968182089
Брянская обл.;Адыгея;0,814456963696975
Бурятия;Адыгея;0,91114989950803
Владимирская обл.;Адыгея;0,733182372170354
Волгоградская обл.;Адыгея;0,855463098102781
Вологодская обл.;Адыгея;0,739149059917285
Воронежская обл.;Адыгея;0,742450529378518
Дагестан;Адыгея;0,882244864447273
Еврейская АО;Адыгея;0,779720125064931
Забайкальский край;Адыгея;0,93794279161141
Ивановская обл.;Адыгея;0,834015340699825
Ингушетия;Адыгея;0,958843363354122
Иркутская обл.;Адыгея;0,710530039597377
Кабардино-Балкария;Адыгея;0,849145029824001
Калининградская обл.;Адыгея;0,804763910900934
Калмыкия;Адыгея;0,908108540808408
Калужская обл.;Адыгея;0,797559997737742
Камчатский край;Адыгея;0,938731043733475
Карачаево-Черкессия;Адыгея;0,911746415824556
Карелия;Адыгея;0,844608107484913
Кемеровская обл.;Адыгея;0,838393470167893
Кировская обл.;Адыгея;0,890406556736279
Коми;Адыгея;0,97637717101002
Костромская обл.;Адыгея;0,880547519123267
Краснодарский край;Адыгея;0,675620699094235
Красноярский край;Адыгея;0,916783932568162
Крым;Адыгея;0,902201640285577
Курганская обл.;Адыгея;0,850375238020174
Курская обл.;Адыгея;0,70251159359757
Ленинградская обл.;Адыгея;0,731357626581344
Липецкая обл.;Адыгея;0,617684446155689
Магаданская обл.;Адыгея;0,847417213970469
Марий Эл;Адыгея;0,904120499141658
Мордовия;Адыгея;0,917722339524365
Москва;Адыгея;0,873850123258657
Московская обл.;Адыгея;0,671235530115139
Мурманская обл.;Адыгея;0,966817656682476
Ненецкий АО;Адыгея;0,561265970877174
Нижегородская обл.;Адыгея;0,727394849722129
Новгородская обл.;Адыгея;0,875108467149095
Новосибирская обл.;Адыгея;0,878463361635933
Омская обл.;Адыгея;0,941395066851208
Оренбургская обл.;Адыгея;0,936774208966481
Орловская обл.;Адыгея;0,864727537540626
Пензенская обл.;Адыгея;0,682565198445925
Пермский край;Адыгея;0,757197572782537
Приморский край;Адыгея;0,914692202082044
Псковская обл.;Адыгея;0,761152116320029
Ростовская обл.;Адыгея;0,768418357249461
Рязанская обл.;Адыгея;0,899062983131428
Самарская обл.;Адыгея;0,44176049293301
Санкт-Петербург;Адыгея;0,809282835483503
Саратовская обл.;Адыгея;0,772475157025287
Саха (Якутия);Адыгея;0,890127536134631
Сахалинская обл.;Адыгея;0,949629309950452
Свердловская обл.;Адыгея;0,908774682294921
Севастополь;Адыгея;0,657093537122158
Северная Осетия;Адыгея;0,943914116799664
Смоленская обл.;Адыгея;0,705205822590844
Ставропольский край;Адыгея;0,879172206435565
Тамбовская обл.;Адыгея;0,611713994722709
Татарстан;Адыгея;0,74745848976935
Тверская обл.;Адыгея;0,797546981316919
Томская обл.;Адыгея;0,946847571299039
Тульская обл.;Адыгея;0,72749114164988
Тыва;Адыгея;0,827677959134707
Тюменская обл.;Адыгея;0,93284776966498
Удмуртия;Адыгея;0,914337414886231
Ульяновская обл.;Адыгея;0,97154465789057
Хабаровский край;Адыгея;0,933619859078069
Хакасия;Адыгея;0,951783583444593
ХМАО – Югра;Адыгея;0,929804901522278
Челябинская обл.;Адыгея;0,692598578822237
Чечня;Адыгея;0,826623203118824
Чувашия;Адыгея;0,804621820587482
Чукотский АО;Адыгея;0,520259939433069
Ямало-Ненецкий АО;Адыгея;0,92801976662363
Ярославская обл.;Адыгея;0,732101355063179
Адыгея;Алтай;0,719196865767554
Алтай;Алтай;1
Алтайский край;Алтай;0,711782328232715
Амурская обл.;Алтай;0,708812373187136
Архангельская обл.;Алтай;0,723604447813946
Астраханская обл.;Алтай;0,355498381014696
Башкортостан;Алтай;-0,122647920420445
Белгородская обл.;Алтай;0,324885989777596
Брянская обл.;Алтай;0,421486330670933
Бурятия;Алтай;0,760092674576938
Владимирская обл.;Алтай;0,261716200586969
Волгоградская обл.;Алтай;0,486157344540544
Вологодская обл.;Алтай;0,199099071622022
Воронежская обл.;Алтай;0,342618506982213
Дагестан;Алтай;0,489296786125712
Еврейская АО;Алтай;0,908984276467374
Забайкальский край;Алтай;0,694440381921449
Ивановская обл.;Алтай;0,402757312039358
Ингушетия;Алтай;0,720972019273009
Иркутская обл.;Алтай;0,353738717385854
Кабардино-Балкария;Алтай;0,610323864968006
Калининградская обл.;Алтай;0,335949735335312
Калмыкия;Алтай;0,766199606213779
Калужская обл.;Алтай;0,391356075685443
Камчатский край;Алтай;0,590024720797374
Карачаево-Черкессия;Алтай;0,780702574488349
Карелия;Алтай;0,377720404795259
Кемеровская обл.;Алтай;0,877184975234844
Кировская обл.;Алтай;0,463632595285649
Коми;Алтай;0,7092482137834
Костромская обл.;Алтай;0,802072089650419
Краснодарский край;Алтай;0,226095102068617
Красноярский край;Алтай;0,607352494541557
Крым;Алтай;0,536145113119289
Курганская обл.;Алтай;0,493597886096397
Курская обл.;Алтай;0,272519603407795
Ленинградская обл.;Алтай;0,277208978682089
Липецкая обл.;Алтай;0,0992646115194351
