from;to;value
Адыгея;Адыгея;1
Алтай;Адыгея;0,0803250311608963
Алтайский край;Адыгея;0,912468533223034
Амурская обл.;Адыгея;0,938272352417169
Архангельская обл.;Адыгея;0,353631328193119
Астраханская обл.;Адыгея;0,584132528786126
Башкортостан;Адыгея;0,324282671811293
Белгородская обл.;Адыгея;0,615156364099589
Брянская обл.;Адыгея;0,14711787284607
Бурятия;Адыгея;0,949552466714824
Владимирская обл.;Адыгея;0,670915884521844
Волгоградская обл.;Адыгея;0,384319968491449
Вологодская обл.;Адыгея;0,51926423974252
Воронежская обл.;Адыгея;0,231660593086647
Дагестан;Адыгея;0,67153451319821
Еврейская АО;Адыгея;0,104379813065872
Забайкальский край;Адыгея;0,591288457980043
Ивановская обл.;Адыгея;0,471027682747531
Ингушетия;Адыгея;0,843125769260163
Иркутская обл.;Адыгея;0,906959408221624
Кабардино-Балкария;Адыгея;0,468815582885205
Калининградская обл.;Адыгея;0,0271143594856196
Калмыкия;Адыгея;-0,786336291768162
Калужская обл.;Адыгея;0,814878025495317
Камчатский край;Адыгея;0,41515940137368
Карачаево-Черкессия;Адыгея;0,636004308287498
Карелия;Адыгея;0,205918889800148
Кемеровская обл.;Адыгея;0,925269581057397
Кировская обл.;Адыгея;0,80909275228609
Коми;Адыгея;0,239549183050095
Костромская обл.;Адыгея;0,368336597196171
Краснодарский край;Адыгея;0,857247124592943
Красноярский край;Адыгея;0,834064380623741
Крым;Адыгея;0,0483246755521956
Курганская обл.;Адыгея;0,620170191648506
Курская обл.;Адыгея;0,0908957383524546
Ленинградская обл.;Адыгея;0,815486946129923
Липецкая обл.;Адыгея;0,526291348207143
Магаданская обл.;Адыгея;0,638281861461271
Марий Эл;Адыгея;0,658556131481714
Мордовия;Адыгея;0,614793488235491
Москва;Адыгея;-0,243407903453937
Московская обл.;Адыгея;0,213248157743326
Мурманская обл.;Адыгея;0,230430586905125
Ненецкий АО;Адыгея;-0,0992775328556081
Нижегородская обл.;Адыгея;0,223372442448791
Новгородская обл.;Адыгея;0,494070339046472
Новосибирская обл.;Адыгея;0,905112362213667
Омская обл.;Адыгея;0,755850873393938
Оренбургская обл.;Адыгея;-0,266673592352055
Орловская обл.;Адыгея;0,584843496805434
Пензенская обл.;Адыгея;0,623373913999478
Пермский край;Адыгея;0,665724676687191
Приморский край;Адыгея;0,930686189552391
Псковская обл.;Адыгея;0,185575955073742
Ростовская обл.;Адыгея;0,604947247705851
Рязанская обл.;Адыгея;0,635199767802417
Самарская обл.;Адыгея;0,290767762342052
Санкт-Петербург;Адыгея;0,0439318353280025
Саратовская обл.;Адыгея;0,531381497587146
Саха (Якутия);Адыгея;0,111803593084066
Сахалинская обл.;Адыгея;0,78442852063438
Свердловская обл.;Адыгея;0,63225939562915
Севастополь;Адыгея;0,0841334428727821
Северная Осетия;Адыгея;0,410909371772742
Смоленская обл.;Адыгея;0,219101470792187
Ставропольский край;Адыгея;0,567069395620039
Тамбовская обл.;Адыгея;0,868801768800569
Татарстан;Адыгея;0,67945144602857
Тверская обл.;Адыгея;0,641702427007906
Томская обл.;Адыгея;0,772289997759122
Тульская обл.;Адыгея;0,816182576498843
Тыва;Адыгея;-0,206173077505781
Тюменская обл.;Адыгея;0,586369606651868
Удмуртия;Адыгея;-0,153850873773487
Ульяновская обл.;Адыгея;0,166053136184564
Хабаровский край;Адыгея;0,873239369805066
Хакасия;Адыгея;0,244604620644727
ХМАО – Югра;Адыгея;0,3598908907105
Челябинская обл.;Адыгея;0,936824538128492
Чечня;Адыгея;0,351113513267103
Чувашия;Адыгея;0,495434950749986
Чукотский АО;Адыгея;-0,41242266202086
Ямало-Ненецкий АО;Адыгея;0,41766765426352
Ярославская обл.;Адыгея;0,792064632585724
Адыгея;Алтай;0,0803250311608963
Алтай;Алтай;1
Алтайский край;Алтай;0,345334065782673
Амурская обл.;Алтай;0,0157079389494804
Архангельская обл.;Алтай;0,781418959306947
Астраханская обл.;Алтай;0,588044143946539
Башкортостан;Алтай;0,707886748808755
Белгородская обл.;Алтай;0,665088715321357
Брянская обл.;Алтай;0,822658559455846
Бурятия;Алтай;0,221265670705227
Владимирская обл.;Алтай;0,623431197540409
Волгоградская обл.;Алтай;0,663808820548036
Вологодская обл.;Алтай;0,643261255535984
Воронежская обл.;Алтай;0,723472846623199
Дагестан;Алтай;0,486087700637418
Еврейская АО;Алтай;0,734670205885847
Забайкальский край;Алтай;0,669269312273718
Ивановская обл.;Алтай;0,725779308359981
Ингушетия;Алтай;0,343091971165427
Иркутская обл.;Алтай;0,213822722503245
