from;to;value
Адыгея;Адыгея;1
Алтай;Адыгея;0,253671295626641
Алтайский край;Адыгея;0,107210331047255
Амурская обл.;Адыгея;0,503623380060424
Архангельская обл.;Адыгея;0,440824350667652
Астраханская обл.;Адыгея;0,269333064543508
Башкортостан;Адыгея;0,177635028235183
Белгородская обл.;Адыгея;0,564083509670627
Брянская обл.;Адыгея;0,265561696369494
Бурятия;Адыгея;0,384265068421494
Владимирская обл.;Адыгея;0,222477834021654
Волгоградская обл.;Адыгея;0,419548321638189
Вологодская обл.;Адыгея;0,357387545366153
Воронежская обл.;Адыгея;0,531266432695793
Дагестан;Адыгея;-0,101303423612721
Еврейская АО;Адыгея;-0,199391126824218
Забайкальский край;Адыгея;0,511055040826105
Ивановская обл.;Адыгея;0,423996954707551
Ингушетия;Адыгея;-0,242811520420148
Иркутская обл.;Адыгея;0,549130063432006
Кабардино-Балкария;Адыгея;0,207048879530544
Калининградская обл.;Адыгея;0,0518069870081298
Калмыкия;Адыгея;0,0662555238663041
Калужская обл.;Адыгея;0,0877195477096594
Камчатский край;Адыгея;0,446706688684269
Карачаево-Черкессия;Адыгея;0,424479061447949
Карелия;Адыгея;0,311300794537669
Кемеровская обл.;Адыгея;0,0947067685608782
Кировская обл.;Адыгея;0,146183828549797
Коми;Адыгея;0,401566456634595
Костромская обл.;Адыгея;0,0576040843270015
Краснодарский край;Адыгея;0,0472750391851292
Красноярский край;Адыгея;0,635590422874441
Крым;Адыгея;-0,0858968840211856
Курганская обл.;Адыгея;0,163012289626776
Курская обл.;Адыгея;0,250863399082189
Ленинградская обл.;Адыгея;0,218296607390477
Липецкая обл.;Адыгея;0,313516618615313
Магаданская обл.;Адыгея;0,314344949542086
Марий Эл;Адыгея;0,244729540350387
Мордовия;Адыгея;0,0888175623413322
Москва;Адыгея;-0,35774970993485
Московская обл.;Адыгея;-0,0422823886433029
Мурманская обл.;Адыгея;-0,0295699354743328
Ненецкий АО;Адыгея;-0,0181771063320181
Нижегородская обл.;Адыгея;0,274049761754253
Новгородская обл.;Адыгея;0,383694992644006
Новосибирская обл.;Адыгея;0,527002299194797
Омская обл.;Адыгея;0,463113671678241
Оренбургская обл.;Адыгея;0,128707600376725
Орловская обл.;Адыгея;0,255901755493544
Пензенская обл.;Адыгея;0,61731432724215
Пермский край;Адыгея;0,415593010451625
Приморский край;Адыгея;0,393346766284505
Псковская обл.;Адыгея;0,418898707329372
Ростовская обл.;Адыгея;0,445960250440029
Рязанская обл.;Адыгея;0,00834384223858006
Самарская обл.;Адыгея;0,363988342929944
Санкт-Петербург;Адыгея;0,149007036980738
Саратовская обл.;Адыгея;0,628624869876615
Саха (Якутия);Адыгея;0,460099529181504
Сахалинская обл.;Адыгея;0,0915901426704551
Свердловская обл.;Адыгея;0,4526070472109
Севастополь;Адыгея;-0,211318923849133
Северная Осетия;Адыгея;-0,182196366904439
Смоленская обл.;Адыгея;0,299651012746019
Ставропольский край;Адыгея;0,277703698312265
Тамбовская обл.;Адыгея;0,176736200878066
Татарстан;Адыгея;-0,0898797087651313
Тверская обл.;Адыгея;0,472954434170133
Томская обл.;Адыгея;0,396480614957808
Тульская обл.;Адыгея;0,230780138763282
Тыва;Адыгея;0,621598640111248
Тюменская обл.;Адыгея;0,245908279020127
Удмуртия;Адыгея;-0,00246722691925462
Ульяновская обл.;Адыгея;0,549632966605508
Хабаровский край;Адыгея;0,35251966854211
Хакасия;Адыгея;0,243051938500332
ХМАО – Югра;Адыгея;0,512128053229921
Челябинская обл.;Адыгея;0,545645118537722
Чечня;Адыгея;-0,210068533894623
Чувашия;Адыгея;0,380163135663662
Чукотский АО;Адыгея;0,0516204222482391
Ямало-Ненецкий АО;Адыгея;0,301371129445768
Ярославская обл.;Адыгея;0,254774642203868
Адыгея;Алтай;0,253671295626641
Алтай;Алтай;1
Алтайский край;Алтай;0,56346532289562
Амурская обл.;Алтай;0,527071056109658
Архангельская обл.;Алтай;0,459143516680826
Астраханская обл.;Алтай;-0,0446575822852058
Башкортостан;Алтай;-0,383850870554068
Белгородская обл.;Алтай;0,0074620126510252
Брянская обл.;Алтай;-0,391781351673634
Бурятия;Алтай;0,193067264597349
Владимирская обл.;Алтай;-0,278473162281388
Волгоградская обл.;Алтай;0,29561065361346
Вологодская обл.;Алтай;0,21474422146488
Воронежская обл.;Алтай;0,482590086907859
Дагестан;Алтай;-0,503602074962248
Еврейская АО;Алтай;-0,275567540084632
Забайкальский край;Алтай;0,167342128543914
Ивановская обл.;Алтай;0,141703619132133
Ингушетия;Алтай;-0,664555734930779
Иркутская обл.;Алтай;0,637555705949039
Кабардино-Балкария;Алтай;-0,303386641097131
Калининградская обл.;Алтай;-0,395675085981119
Калмыкия;Алтай;0,355975087620572
Калужская обл.;Алтай;-0,492617738387032
Камчатский край;Алтай;0,384140475728777
Карачаево-Черкессия;Алтай;0,215919538924509
Карелия;Алтай;0,627355046013509
Кемеровская обл.;Алтай;0,520790666613178
Кировская обл.;Алтай;0,22210553258479
Коми;Алтай;0,432022224075832
Костромская обл.;Алтай;0,249651595151547
Краснодарский край;Алтай;-0,135605750033751
Красноярский край;Алтай;0,243101393752317
Крым;Алтай;0,243819067350256
Курганская обл.;Алтай;0,703550278808082
Курская обл.;Алтай;-0,319066134881756
Ленинградская обл.;Алтай;-0,2162945895592
Липецкая обл.;Алтай;-0,309577528546982
Магаданская обл.;Алтай;0,478172838767677
Марий Эл;Алтай;-0,318931906184488
Мордовия;Алтай;-0,0932564156180457
Москва;Алтай;-0,628302873608209
Московская обл.;Алтай;-0,620038853504645
Мурманская обл.;Алтай;0,431887454747785
Ненецкий АО;Алтай;0,267497569575513
Нижегородская обл.;Алтай;-0,0765035731734226
Новгородская обл.;Алтай;0,104891865302553
Новосибирская обл.;Алтай;0,426099015036687
Омская обл.;Алтай;0,558138225027661
Оренбургская обл.;Алтай;0,576658645689014
Орловская обл.;Алтай;-0,227858059384446
Пензенская обл.;Алтай;0,0612803096714462
Пермский край;Алтай;0,525420496201339
Приморский край;Алтай;0,507339478109096
Псковская обл.;Алтай;0,354113789285882
Ростовская обл.;Алтай;-0,00824222830094144
Рязанская обл.;Алтай;-0,535743075815267
Самарская обл.;Алтай;0,11289077712795
Санкт-Петербург;Алтай;-0,363731726732793
Саратовская обл.;Алтай;0,40019387393622
Саха (Якутия);Алтай;0,137128203276295
Сахалинская обл.;Алтай;0,61073748809764
Свердловская обл.;Алтай;0,417269519590786
Севастополь;Алтай;0,103742336015234
Северная Осетия;Алтай;-0,554615469631437
Смоленская обл.;Алтай;-0,189732103472252
Ставропольский край;Алтай;0,515875903628412
Тамбовская обл.;Алтай;-0,373880658612234
Татарстан;Алтай;-0,526230453682425
Тверская обл.;Алтай;0,0169406481592228
Томская обл.;Алтай;0,667414691892233
Тульская обл.;Алтай;-0,312150985610158
Тыва;Алтай;0,3288768742202
Тюменская обл.;Алтай;0,572809056526134
Удмуртия;Алтай;0,374662457001065
Ульяновская обл.;Алтай;0,547326926177197
Хабаровский край;Алтай;0,624433959145725
Хакасия;Алтай;0,373011998792024
ХМАО – Югра;Алтай;0,662550274759234
Челябинская обл.;Алтай;0,526304410447388
Чечня;Алтай;-0,498956769534908
Чувашия;Алтай;-0,157926270794998
Чукотский АО;Алтай;-0,241129756928451
Ямало-Ненецкий АО;Алтай;0,672671230132361
Ярославская обл.;Алтай;-0,39801736682154
Адыгея;Алтайский край;0,107210331047255
Алтай;Алтайский край;0,56346532289562
Алтайский край;Алтайский край;1
Амурская обл.;Алтайский край;0,538331759733054
Архангельская обл.;Алтайский край;0,481593009786821
Астраханская обл.;Алтайский край;0,00147705981298775
Башкортостан;Алтайский край;-0,222441894275684
Белгородская обл.;Алтайский край;-0,0111904409331567
Брянская обл.;Алтайский край;-0,352637266668812
Бурятия;Алтайский край;0,167364000425922
Владимирская обл.;Алтайский край;-0,197012783148117
Волгоградская обл.;Алтайский край;0,310081989251618
Вологодская обл.;Алтайский край;0,36498041599794
Воронежская обл.;Алтайский край;0,291557518100168
Дагестан;Алтайский край;-0,508787765072191
Еврейская АО;Алтайский край;-0,205915544679356
Забайкальский край;Алтайский край;0,0938078388870366
Ивановская обл.;Алтайский край;0,154443431224163
Ингушетия;Алтайский край;-0,658824444564346
Иркутская обл.;Алтайский край;0,638037640915475
Кабардино-Балкария;Алтайский край;-0,305533112202507
Калининградская обл.;Алтайский край;-0,415288272226643
Калмыкия;Алтайский край;0,097648896437528
Калужская обл.;Алтайский край;-0,385883605092113
Камчатский край;Алтайский край;0,348794811276062
Карачаево-Черкессия;Алтайский край;-0,0615883472152127
Карелия;Алтайский край;0,448025219754865
Кемеровская обл.;Алтайский край;0,444918311369493
Кировская обл.;Алтайский край;0,387491487940796
Коми;Алтайский край;0,449558967323207
Костромская обл.;Алтайский край;0,0813507108682055
Краснодарский край;Алтайский край;-0,0173550930519524
Красноярский край;Алтайский край;0,271827326783316
Крым;Алтайский край;0,145060531008008
Курганская обл.;Алтайский край;0,893987030432263
Курская обл.;Алтайский край;-0,400224067696517
Ленинградская обл.;Алтайский край;-0,158276102442631
Липецкая обл.;Алтайский край;-0,254465410602315
Магаданская обл.;Алтайский край;0,257692833503317
Марий Эл;Алтайский край;-0,25473080961789
Мордовия;Алтайский край;-0,191167737146613
Москва;Алтайский край;-0,58009477608879
Московская обл.;Алтайский край;-0,61900857147367
Мурманская обл.;Алтайский край;0,673227464409912
Ненецкий АО;Алтайский край;0,30635412833416
Нижегородская обл.;Алтайский край;0,0268154249730527
Новгородская обл.;Алтайский край;0,00470901945217199
Новосибирская обл.;Алтайский край;0,607790504491368
Омская обл.;Алтайский край;0,682795132787138
Оренбургская обл.;Алтайский край;0,728084420677388
Орловская обл.;Алтайский край;-0,160386208726193
Пензенская обл.;Алтайский край;-0,0394775613683033
Пермский край;Алтайский край;0,64807743647659
Приморский край;Алтайский край;0,374162806111357
Псковская обл.;Алтайский край;0,0599434408959531
Ростовская обл.;Алтайский край;0,0628783545588576
Рязанская обл.;Алтайский край;-0,438173481394829
Самарская обл.;Алтайский край;0,146992087618918
Санкт-Петербург;Алтайский край;-0,198043820437259
Саратовская обл.;Алтайский край;0,348484335010524
Саха (Якутия);Алтайский край;0,203354164549217
Сахалинская обл.;Алтайский край;0,709510043820634
Свердловская обл.;Алтайский край;0,612115880473371
Севастополь;Алтайский край;-5,61600916336349E-5
Северная Осетия;Алтайский край;-0,520242893695895
Смоленская обл.;Алтайский край;-0,0703159409807569
Ставропольский край;Алтайский край;0,480027495608229
Тамбовская обл.;Алтайский край;-0,259933090940129
Татарстан;Алтайский край;-0,466262277463345
Тверская обл.;Алтайский край;-0,137811008205797
Томская обл.;Алтайский край;0,676511475646003
Тульская обл.;Алтайский край;-0,256235334950077
Тыва;Алтайский край;0,105726059364352
Тюменская обл.;Алтайский край;0,724685877202435
Удмуртия;Алтайский край;0,641694752823446
Ульяновская обл.;Алтайский край;0,56310103876809
Хабаровский край;Алтайский край;0,792683042501834
Хакасия;Алтайский край;0,461341869227475
ХМАО – Югра;Алтайский край;0,657943623844186
Челябинская обл.;Алтайский край;0,489636002387237
Чечня;Алтайский край;-0,481567272559968
Чувашия;Алтайский край;-0,034941807440727
Чукотский АО;Алтайский край;-0,195450685972527
Ямало-Ненецкий АО;Алтайский край;0,741046343208709
Ярославская обл.;Алтайский край;-0,237071108037426
Адыгея;Амурская обл.;0,503623380060424
Алтай;Амурская обл.;0,527071056109658
Алтайский край;Амурская обл.;0,538331759733054
Амурская обл.;Амурская обл.;1
Архангельская обл.;Амурская обл.;0,717517800990211
Астраханская обл.;Амурская обл.;0,31774618113241
Башкортостан;Амурская обл.;0,0692504915536914
Белгородская обл.;Амурская обл.;0,491726908092524
Брянская обл.;Амурская обл.;0,0956904302352327
Бурятия;Амурская обл.;0,538561907959331
Владимирская обл.;Амурская обл.;0,114255499486819
Волгоградская обл.;Амурская обл.;0,583123044650602
Вологодская обл.;Амурская обл.;0,286151728711199
Воронежская обл.;Амурская обл.;0,839547424592899
Дагестан;Амурская обл.;-0,200344135544927
Еврейская АО;Амурская обл.;-0,232139092364856
Забайкальский край;Амурская обл.;0,697083565317807
Ивановская обл.;Амурская обл.;0,635622540287306
Ингушетия;Амурская обл.;-0,449072759202278
Иркутская обл.;Амурская обл.;0,763169618019871
Кабардино-Балкария;Амурская обл.;0,19483531127875
Калининградская обл.;Амурская обл.;-0,0127450721972484
Калмыкия;Амурская обл.;-0,0294836696440836
Калужская обл.;Амурская обл.;-0,0921774617891453
Камчатский край;Амурская обл.;0,64666360527208
Карачаево-Черкессия;Амурская обл.;0,626328720568087
Карелия;Амурская обл.;0,561723872755359
Кемеровская обл.;Амурская обл.;0,296346360029806
Кировская обл.;Амурская обл.;0,351131583221518
Коми;Амурская обл.;0,677586707998108
Костромская обл.;Амурская обл.;0,176456831853342
Краснодарский край;Амурская обл.;-0,0960975678927841
Красноярский край;Амурская обл.;0,565091345202862
Крым;Амурская обл.;0,0220631961116898
Курганская обл.;Амурская обл.;0,5837962674631
Курская обл.;Амурская обл.;0,0966137100320001
Ленинградская обл.;Амурская обл.;0,111126335788754
Липецкая обл.;Амурская обл.;0,24377118805615
Магаданская обл.;Амурская обл.;0,40554619883631
Марий Эл;Амурская обл.;0,157913217513466
Мордовия;Амурская обл.;0,304814937886264
Москва;Амурская обл.;-0,544469276624333
Московская обл.;Амурская обл.;-0,253204831729577
Мурманская обл.;Амурская обл.;0,251324524016956
Ненецкий АО;Амурская обл.;0,121947295737093
Нижегородская обл.;Амурская обл.;0,314984376809163
Новгородская обл.;Амурская обл.;0,493644195345184
Новосибирская обл.;Амурская обл.;0,775872411561679
