from;to;value
Адыгея;Адыгея;1
Алтай;Адыгея;0,894520785118635
Алтайский край;Адыгея;0,967658491061541
Амурская обл.;Адыгея;0,914033171067424
Архангельская обл.;Адыгея;0,892324337802986
Астраханская обл.;Адыгея;0,937438901405301
Башкортостан;Адыгея;0,928801638745898
Белгородская обл.;Адыгея;0,956791503566871
Брянская обл.;Адыгея;0,95118664948618
Бурятия;Адыгея;0,904940107862283
Владимирская обл.;Адыгея;0,939326446514523
Волгоградская обл.;Адыгея;0,95333627544818
Вологодская обл.;Адыгея;0,976468439183973
Воронежская обл.;Адыгея;0,964451124657553
Дагестан;Адыгея;0,861369751413954
Еврейская АО;Адыгея;0,798936393129462
Забайкальский край;Адыгея;0,960630706302791
Ивановская обл.;Адыгея;0,936489398770503
Ингушетия;Адыгея;0,849468231353783
Иркутская обл.;Адыгея;0,95623088797199
Кабардино-Балкария;Адыгея;0,979296782099441
Калининградская обл.;Адыгея;0,982693890779719
Калмыкия;Адыгея;0,798563810795967
Калужская обл.;Адыгея;0,895166248797652
Камчатский край;Адыгея;0,980848312163435
Карачаево-Черкессия;Адыгея;0,912917223148736
Карелия;Адыгея;0,946438460174211
Кемеровская обл.;Адыгея;0,928086585643815
Кировская обл.;Адыгея;0,976984065852387
Коми;Адыгея;0,962301565724315
Костромская обл.;Адыгея;0,979183067700796
Краснодарский край;Адыгея;0,921252801518302
Красноярский край;Адыгея;0,923303947246726
Крым;Адыгея;0,950137890622057
Курганская обл.;Адыгея;0,972714905898249
Курская обл.;Адыгея;0,918330861208275
Ленинградская обл.;Адыгея;0,919992257265827
Липецкая обл.;Адыгея;0,916473086622078
Магаданская обл.;Адыгея;0,958977002407043
Марий Эл;Адыгея;0,833799657600866
Мордовия;Адыгея;0,975512399719146
Москва;Адыгея;0,526852303390273
Московская обл.;Адыгея;0,640151754539508
Мурманская обл.;Адыгея;0,935111465073791
Ненецкий АО;Адыгея;0,932439637944775
Нижегородская обл.;Адыгея;0,959458342956753
Новгородская обл.;Адыгея;0,913367970553703
Новосибирская обл.;Адыгея;0,947202445656271
Омская обл.;Адыгея;0,878703143938897
Оренбургская обл.;Адыгея;0,961184624785933
Орловская обл.;Адыгея;0,942150463635343
Пензенская обл.;Адыгея;0,949798168104653
Пермский край;Адыгея;0,980646186206099
Приморский край;Адыгея;0,97627214827732
Псковская обл.;Адыгея;0,925163666935731
Ростовская обл.;Адыгея;0,975370215830166
Рязанская обл.;Адыгея;0,96569967786195
Самарская обл.;Адыгея;0,966623246363561
Санкт-Петербург;Адыгея;0,795385403052356
Саратовская обл.;Адыгея;0,926060508286999
Саха (Якутия);Адыгея;0,735159653377757
Сахалинская обл.;Адыгея;0,863882063921024
Свердловская обл.;Адыгея;0,94673467462703
Севастополь;Адыгея;0,921886440769172
Северная Осетия;Адыгея;0,899097198888653
Смоленская обл.;Адыгея;0,975915850587837
Ставропольский край;Адыгея;0,885786577074795
Тамбовская обл.;Адыгея;0,978568815643632
Татарстан;Адыгея;0,914440289319099
Тверская обл.;Адыгея;0,960213902864243
Томская обл.;Адыгея;0,878529492713234
Тульская обл.;Адыгея;0,877684631934767
Тыва;Адыгея;0,698036337868062
Тюменская обл.;Адыгея;0,955651466371701
Удмуртия;Адыгея;0,952436076904525
Ульяновская обл.;Адыгея;0,927873363325425
Хабаровский край;Адыгея;0,961425647723747
Хакасия;Адыгея;0,910203578339768
ХМАО – Югра;Адыгея;0,843624978240343
Челябинская обл.;Адыгея;0,959299304748429
Чечня;Адыгея;0,58486396987094
Чувашия;Адыгея;0,787894733139412
Чукотский АО;Адыгея;0,79985476411477
Ямало-Ненецкий АО;Адыгея;0,915461936381656
Ярославская обл.;Адыгея;0,966144344156252
Адыгея;Алтай;0,894520785118635
Алтай;Алтай;1
Алтайский край;Алтай;0,893319766910484
Амурская обл.;Алтай;0,787853496923522
Архангельская обл.;Алтай;0,878243563973002
Астраханская обл.;Алтай;0,886095545515638
Башкортостан;Алтай;0,830659128331987
Белгородская обл.;Алтай;0,901701633822611
Брянская обл.;Алтай;0,929210313459702
Бурятия;Алтай;0,883154405650236
Владимирская обл.;Алтай;0,882926511541657
Волгоградская обл.;Алтай;0,898528225600724
Вологодская обл.;Алтай;0,899611501323732
Воронежская обл.;Алтай;0,905343466754614
Дагестан;Алтай;0,837158879449117
Еврейская АО;Алтай;0,752532483448742
Забайкальский край;Алтай;0,856513747302383
Ивановская обл.;Алтай;0,82300359566413
Ингушетия;Алтай;0,853267625381972
Иркутская обл.;Алтай;0,899005664870505
Кабардино-Балкария;Алтай;0,89482602080654
Калининградская обл.;Алтай;0,901774888019554
Калмыкия;Алтай;0,796320690056625
Калужская обл.;Алтай;0,849424942546114
Камчатский край;Алтай;0,898669224164192
Карачаево-Черкессия;Алтай;0,887545932164832
Карелия;Алтай;0,877388601325638
Кемеровская обл.;Алтай;0,868890619951275
Кировская обл.;Алтай;0,897421222165667
Коми;Алтай;0,902726830317242
Костромская обл.;Алтай;0,893175292853568
Краснодарский край;Алтай;0,938848945112525
Красноярский край;Алтай;0,867568390843941
Крым;Алтай;0,880429159243305
Курганская обл.;Алтай;0,893547577681193
Курская обл.;Алтай;0,869144775372066
Ленинградская обл.;Алтай;0,870358655888144
Липецкая обл.;Алтай;0,892999709714895
Магаданская обл.;Алтай;0,917454794930607
Марий Эл;Алтай;0,843162787752904
Мордовия;Алтай;0,916633140567773
Москва;Алтай;0,58286420877512
Московская обл.;Алтай;0,681059626328355
Мурманская обл.;Алтай;0,899417024136921
Ненецкий АО;Алтай;0,906512047821777
Нижегородская обл.;Алтай;0,904650686118625
Новгородская обл.;Алтай;0,865588255618312
Новосибирская обл.;Алтай;0,8388236274592
Омская обл.;Алтай;0,881892894902784
Оренбургская обл.;Алтай;0,89515801263553
Орловская обл.;Алтай;0,895218031366027
Пензенская обл.;Алтай;0,86675024038869
Пермский край;Алтай;0,918873574719267
Приморский край;Алтай;0,8839129816851
Псковская обл.;Алтай;0,82924830410376
Ростовская обл.;Алтай;0,916799387662169
Рязанская обл.;Алтай;0,921477077820278
Самарская обл.;Алтай;0,883446440894369
Санкт-Петербург;Алтай;0,82864130673756
Саратовская обл.;Алтай;0,890870385142858
Саха (Якутия);Алтай;0,763783716789502
Сахалинская обл.;Алтай;0,853805063428824
Свердловская обл.;Алтай;0,917755019249296
Севастополь;Алтай;0,807904982128867
Северная Осетия;Алтай;0,872285183817274
Смоленская обл.;Алтай;0,926410081686765
Ставропольский край;Алтай;0,87634660895999
Тамбовская обл.;Алтай;0,893631937337378
Татарстан;Алтай;0,82843376011315
Тверская обл.;Алтай;0,899072323142188
Томская обл.;Алтай;0,794010590100861
Тульская обл.;Алтай;0,865547036916361
Тыва;Алтай;0,739635153011352
Тюменская обл.;Алтай;0,923991307258379
Удмуртия;Алтай;0,876159476860404
Ульяновская обл.;Алтай;0,857900324598167
Хабаровский край;Алтай;0,864027185744696
Хакасия;Алтай;0,869249437383405
ХМАО – Югра;Алтай;0,838922650847744
Челябинская обл.;Алтай;0,911680346047603
Чечня;Алтай;0,611367966576643
Чувашия;Алтай;0,816350243402366
Чукотский АО;Алтай;0,776424637684858
Ямало-Ненецкий АО;Алтай;0,891661027537374
Ярославская обл.;Алтай;0,871401412109718
Адыгея;Алтайский край;0,967658491061541
Алтай;Алтайский край;0,893319766910484
Алтайский край;Алтайский край;1
Амурская обл.;Алтайский край;0,903582236534638
Архангельская обл.;Алтайский край;0,930361439238234
Астраханская обл.;Алтайский край;0,945243409457457
Башкортостан;Алтайский край;0,900683817850497
Белгородская обл.;Алтайский край;0,987880398452685
Брянская обл.;Алтайский край;0,953680212291787
Бурятия;Алтайский край;0,890488559449602
Владимирская обл.;Алтайский край;0,973873209421329
Волгоградская обл.;Алтайский край;0,949433988726358
Вологодская обл.;Алтайский край;0,986646178777094
Воронежская обл.;Алтайский край;0,973425123025921
Дагестан;Алтайский край;0,858515665576385
Еврейская АО;Алтайский край;0,761487773960221
Забайкальский край;Алтайский край;0,935631981578149
Ивановская обл.;Алтайский край;0,921940265748461
Ингушетия;Алтайский край;0,892042017047908
Иркутская обл.;Алтайский край;0,943887641842396
Кабардино-Балкария;Алтайский край;0,978174749780822
Калининградская обл.;Алтайский край;0,973778768970462
Калмыкия;Алтайский край;0,772736001526294
Калужская обл.;Алтайский край;0,916789414137352
Камчатский край;Алтайский край;0,959581603250126
Карачаево-Черкессия;Алтайский край;0,926253271530638
Карелия;Алтайский край;0,958619317344178
Кемеровская обл.;Алтайский край;0,973130744369097
Кировская обл.;Алтайский край;0,982718821134611
Коми;Алтайский край;0,984980773248183
Костромская обл.;Алтайский край;0,978703039943448
Краснодарский край;Алтайский край;0,944031791156782
Красноярский край;Алтайский край;0,975777072879229
Крым;Алтайский край;0,928712550322852
Курганская обл.;Алтайский край;0,974377430461046
Курская обл.;Алтайский край;0,885345993259116
Ленинградская обл.;Алтайский край;0,941840388370906
Липецкая обл.;Алтайский край;0,929456670134958
Магаданская обл.;Алтайский край;0,956410955170332
Марий Эл;Алтайский край;0,865511878704217
Мордовия;Алтайский край;0,978542110406248
Москва;Алтайский край;0,499695112367281
Московская обл.;Алтайский край;0,624197881355708
Мурманская обл.;Алтайский край;0,939807751225879
Ненецкий АО;Алтайский край;0,954282016436432
Нижегородская обл.;Алтайский край;0,964833088912547
Новгородская обл.;Алтайский край;0,957849673404463
Новосибирская обл.;Алтайский край;0,97229005493419
Омская обл.;Алтайский край;0,919083522698031
Оренбургская обл.;Алтайский край;0,987105218738755
Орловская обл.;Алтайский край;0,919950901410852
Пензенская обл.;Алтайский край;0,939689413132669
Пермский край;Алтайский край;0,980059842017124
Приморский край;Алтайский край;0,952847032257785
Псковская обл.;Алтайский край;0,887900489227957
Ростовская обл.;Алтайский край;0,971892968550316
Рязанская обл.;Алтайский край;0,971903107706194
Самарская обл.;Алтайский край;0,914768347868752
Санкт-Петербург;Алтайский край;0,811328210599402
Саратовская обл.;Алтайский край;0,876504455857654
Саха (Якутия);Алтайский край;0,715336601382674
Сахалинская обл.;Алтайский край;0,845097214041382
Свердловская обл.;Алтайский край;0,91399056054697
Севастополь;Алтайский край;0,899702340166491
Северная Осетия;Алтайский край;0,886442225564642
Смоленская обл.;Алтайский край;0,95843573084582
Ставропольский край;Алтайский край;0,887460409999852
Тамбовская обл.;Алтайский край;0,984823802487527
Татарстан;Алтайский край;0,940451193172138
Тверская обл.;Алтайский край;0,969265159699757
Томская обл.;Алтайский край;0,804220658349358
Тульская обл.;Алтайский край;0,918369196669863
Тыва;Алтайский край;0,730416781800779
Тюменская обл.;Алтайский край;0,959577690663052
Удмуртия;Алтайский край;0,975869801505347
Ульяновская обл.;Алтайский край;0,883123557663691
Хабаровский край;Алтайский край;0,940000597790421
Хакасия;Алтайский край;0,930970284844219
ХМАО – Югра;Алтайский край;0,846953552238066
Челябинская обл.;Алтайский край;0,970800131547387
Чечня;Алтайский край;0,575694176732299
Чувашия;Алтайский край;0,8415350968372
Чукотский АО;Алтайский край;0,78140299788016
Ямало-Ненецкий АО;Алтайский край;0,919806630715583
Ярославская обл.;Алтайский край;0,945136558488619
Адыгея;Амурская обл.;0,914033171067424
Алтай;Амурская обл.;0,787853496923522
Алтайский край;Амурская обл.;0,903582236534638
Амурская обл.;Амурская обл.;1
Архангельская обл.;Амурская обл.;0,7524866352087
Астраханская обл.;Амурская обл.;0,804757859134847
Башкортостан;Амурская обл.;0,945211048666838
Белгородская обл.;Амурская обл.;0,877327471160894
Брянская обл.;Амурская обл.;0,835330212834657
Бурятия;Амурская обл.;0,721152603405001
Владимирская обл.;Амурская обл.;0,851433780065841
Волгоградская обл.;Амурская обл.;0,867878669781663
Вологодская обл.;Амурская обл.;0,933000965456723
Воронежская обл.;Амурская обл.;0,879459103944451
Дагестан;Амурская обл.;0,656853072385219
Еврейская АО;Амурская обл.;0,864989324547389
Забайкальский край;Амурская обл.;0,964744694330037
Ивановская обл.;Амурская обл.;0,965888949961725
Ингушетия;Амурская обл.;0,665172850219664
Иркутская обл.;Амурская обл.;0,909780568328479
Кабардино-Балкария;Амурская обл.;0,896361799405205
Калининградская обл.;Амурская обл.;0,909879656327592
Калмыкия;Амурская обл.;0,589021326310979
Калужская обл.;Амурская обл.;0,718048676568931
Камчатский край;Амурская обл.;0,89143666672202
Карачаево-Черкессия;Амурская обл.;0,74700332568442
Карелия;Амурская обл.;0,824978510839406
Кемеровская обл.;Амурская обл.;0,877117661823521
Кировская обл.;Амурская обл.;0,920465781632698
Коми;Амурская обл.;0,890659052408443
Костромская обл.;Амурская обл.;0,930440081853822
Краснодарский край;Амурская обл.;0,812413661014513
Красноярский край;Амурская обл.;0,873321351862158
Крым;Амурская обл.;0,904536933174458
Курганская обл.;Амурская обл.;0,938029893447263
Курская обл.;Амурская обл.;0,796200348774171
Ленинградская обл.;Амурская обл.;0,783293876163515
Липецкая обл.;Амурская обл.;0,839906748862358
Магаданская обл.;Амурская обл.;0,834790226890843
Марий Эл;Амурская обл.;0,622516222439646
Мордовия;Амурская обл.;0,896955462980134
Москва;Амурская обл.;0,272204404800802
Московская обл.;Амурская обл.;0,37873374693209
Мурманская обл.;Амурская обл.;0,787715887880622
Ненецкий АО;Амурская обл.;0,807029592194781
Нижегородская обл.;Амурская обл.;0,863868926150855
Новгородская обл.;Амурская обл.;0,80430560235586
Новосибирская обл.;Амурская обл.;0,952562085429501
Омская обл.;Амурская обл.;0,717934744743953
Оренбургская обл.;Амурская обл.;0,902135566316338
Орловская обл.;Амурская обл.;0,780897998081805
Пензенская обл.;Амурская обл.;0,928785698573309
Пермский край;Амурская обл.;0,884150137625051
Приморский край;Амурская обл.;0,939192299856059
Псковская обл.;Амурская обл.;0,955321018838323
Ростовская обл.;Амурская обл.;0,902979267457224
Рязанская обл.;Амурская обл.;0,854536386564888
Самарская обл.;Амурская обл.;0,881128517648633
Санкт-Петербург;Амурская обл.;0,60268333485214
