Пирсон	Поле1	Поле2
1	Австралия	Австралия
0,576088863	Австрия	Австралия
0,169184795	Ангола	Австралия
0,271658521	Антигуа и Барбуда	Австралия
0,533212135	Аргентина	Австралия
0,510747181	Аруба	Австралия
-0,105904196	Афганистан	Австралия
0,262081056	Багамские Острова	Австралия
-0,002447714	Бангладеш	Австралия
0,662928944	Барбадос	Австралия
0,380907859	Бахрейн	Австралия
0,078528506	Беларусь	Австралия
0,420129197	Белиз	Австралия
0,441150741	Бельгия	Австралия
-0,012952576	Бенин	Австралия
0,372730352	Болгария	Австралия
0,388772248	Боливия (Многонациональное Государство)	Австралия
0,185036175	Босния и Герцеговина	Австралия
0,104515677	Ботсвана	Австралия
0,208244666	Бразилия	Австралия
0,106436553	Буркина-Фасо	Австралия
0,228974115	Венгрия	Австралия
-0,074132968	Венесуэла (Боливарианская Республика)	Австралия
0,411943904	Вьетнам	Австралия
0,044782404	Габон	Австралия
0,003702744	Гаити	Австралия
-0,019295063	Гана	Австралия
0,162146778	Гватемала	Австралия
0,09975235	Гвинея-Бисау	Австралия
0,623203638	Германия	Австралия
-0,185806537	Гондурас	Австралия
0,770025279	Греция	Австралия
0,228009608	Грузия	Австралия
0,512807074	Дания	Австралия
0,451590381	Доминиканская Республика	Австралия
0,128436411	Египет	Австралия
0,202166166	Замбия	Австралия
0,025731893	Зимбабве	Австралия
0,454621081	Израиль	Австралия
0,118898723	Индия	Австралия
-0,012400529	Индонезия	Австралия
0,135622486	Иордания	Австралия
-0,202637597	Ирак	Австралия
0,574688271	Ирландия	Австралия
0,468850849	Испания	Австралия
0,826874544	Италия	Австралия
-0,063348652	Йемен	Австралия
0,319377188	Кабо-Верде	Австралия
0,131122934	Казахстан	Австралия
-0,143598756	Камбоджа	Австралия
-0,058956925	Камерун	Австралия
0,610022892	Канада	Австралия
0,455016978	Катар	Австралия
-0,020404607	Кения	Австралия
0,227199456	Китай, Специальный административный район Гонконг	Австралия
0,072628789	Колумбия	Австралия
0,278423085	Коста-Рика	Австралия
0,09575461	Кот-д'Ивуар	Австралия
0,362847546	Кувейт	Австралия
-0,083627079	Кыргызстан	Австралия
0,484832769	Лаосская Народно-Демократическая Республика	Австралия
0,395567928	Латвия	Австралия
0,355054041	Ливан	Австралия
-0,01446861	Ливия	Австралия
0,42358731	Литва	Австралия
0,516268681	Лихтенштейн	Австралия
0,584615367	Люксембург	Австралия
0,195221166	Маврикий	Австралия
0,246140124	Малайзия	Австралия
0,405231675	Мали	Австралия
0,56546039	Мальта	Австралия
0,122418591	Марокко	Австралия
0,282470413	Мексика	Австралия
0,167880863	Мозамбик	Австралия
0,144170787	Монголия	Австралия
-0,14880753	Мьянма	Австралия
-0,05647705	Намибия	Австралия
0,023580514	Непал	Австралия
0,169234127	Нигер	Австралия
-0,133968016	Нигерия	Австралия
0,410735084	Нидерланды	Австралия
-0,076452466	Никарагуа	Австралия
0,516877867	Новая Зеландия	Австралия
0,485151725	Норвегия	Австралия
0,010758524	Объединенная Республика Танзания	Австралия
0,032713974	Объединенные Арабские Эмираты	Австралия
-0,015424656	Оман	Австралия
-0,049551732	Пакистан	Австралия
0,430708851	Панама	Австралия
-0,024396698	Папуа-Новая Гвинея	Австралия
0,120197681	Парагвай	Австралия
0,337889897	Перу	Австралия
0,198621821	Польша	Австралия
0,708924965	Португалия	Австралия
0,5105948	Республика Корея	Австралия
0,16561958	Республика Молдова	Австралия
0,225433076	Российская Федерация	Австралия
0,090466614	Руанда	Австралия
0,2619085	Румыния	Австралия
0,014939869	Сальвадор	Австралия
0,279840367	Саудовская Аравия	Австралия
0,281033724	Северная Македония	Австралия
0,049862125	Сенегал	Австралия
0,373983514	Сербия	Австралия
0,398987044	Сингапур	Австралия
0,296345402	Словакия	Австралия
0,494829966	Словения	Австралия
0,555236935	Соединенное Королевство Великобритании и Северной Ирландии	Австралия
0,524636946	Соединенные Штаты Америки	Австралия
-0,271172067	Таджикистан	Австралия
0,448980457	Таиланд	Австралия
0,180438035	Того	Австралия
0,499453744	Тринидад и Тобаго	Австралия
0,382407312	Турция	Австралия
0,029698444	Уганда	Австралия
0,265575857	Украина	Австралия
0,509162143	Уругвай	Австралия
0,073617927	Фиджи	Австралия
0,292467055	Филиппины	Австралия
0,524388982	Финляндия	Австралия
0,74214417	Франция	Австралия
0,426622031	Хорватия	Австралия
0,269303023	Чехия	Австралия
0,334330642	Чили	Австралия
0,528409339	Швейцария	Австралия
0,306313225	Швеция	Австралия
-0,108669812	Шри-Ланка	Австралия
0,379096935	Эквадор	Австралия
0,414054371	Эстония	Австралия
-0,068646955	Южная Африка	Австралия
0,405583618	Ямайка	Австралия
0,61442997	Япония	Австралия
0,576088863	Австралия	Австрия
1	Австрия	Австрия
-0,059316714	Ангола	Австрия
0,142835887	Антигуа и Барбуда	Австрия
0,211301296	Аргентина	Австрия
0,046555727	Аруба	Австрия
-0,04133843	Афганистан	Австрия
-0,022183444	Багамские Острова	Австрия
0,073679931	Бангладеш	Австрия
0,489505772	Барбадос	Австрия
0,592452237	Бахрейн	Австрия
0,529386509	Беларусь	Австрия
0,226877241	Белиз	Австрия
0,41715683	Бельгия	Австрия
-0,049805763	Бенин	Австрия
0,457846249	Болгария	Австрия
0,124089017	Боливия (Многонациональное Государство)	Австрия
0,174455592	Босния и Герцеговина	Австрия
0,061423674	Ботсвана	Австрия
0,386554631	Бразилия	Австрия
-0,054042626	Буркина-Фасо	Австрия
0,364945267	Венгрия	Австрия
0,058953645	Венесуэла (Боливарианская Республика)	Австрия
0,755393086	Вьетнам	Австрия
-0,064878381	Габон	Австрия
-0,04311755	Гаити	Австрия
-0,150983952	Гана	Австрия
0,291675438	Гватемала	Австрия
0,020653899	Гвинея-Бисау	Австрия
0,866332504	Германия	Австрия
-0,098167197	Гондурас	Австрия
0,726582161	Греция	Австрия
0,540619281	Грузия	Австрия
0,66805946	Дания	Австрия
0,10978296	Доминиканская Республика	Австрия
0,332059805	Египет	Австрия
-0,065922085	Замбия	Австрия
-0,021102692	Зимбабве	Австрия
0,418561932	Израиль	Австрия
0,033753863	Индия	Австрия
0,311331326	Индонезия	Австрия
0,477890896	Иордания	Австрия
-0,115726296	Ирак	Австрия
0,319192479	Ирландия	Австрия
0,23319113	Испания	Австрия
0,597758754	Италия	Австрия
-0,003578744	Йемен	Австрия
-0,064584517	Кабо-Верде	Австрия
0,0757146	Казахстан	Австрия
-0,041869775	Камбоджа	Австрия
-0,020756387	Камерун	Австрия
0,271679558	Канада	Австрия
0,144105402	Катар	Австрия
-0,182564213	Кения	Австрия
0,549782109	Китай, Специальный административный район Гонконг	Австрия
-0,073770762	Колумбия	Австрия
0,244670735	Коста-Рика	Австрия
-0,125872369	Кот-д'Ивуар	Австрия
0,337443196	Кувейт	Австрия
-0,113683902	Кыргызстан	Австрия
0,481405022	Лаосская Народно-Демократическая Республика	Австрия
0,787090798	Латвия	Австрия
0,401379055	Ливан	Австрия
0,21589965	Ливия	Австрия
0,776217612	Литва	Австрия
0,809781283	Лихтенштейн	Австрия
0,517297543	Люксембург	Австрия
0,381819197	Маврикий	Австрия
0,57896017	Малайзия	Австрия
0,032966967	Мали	Австрия
0,293983157	Мальта	Австрия
0,001950058	Марокко	Австрия
0,276340884	Мексика	Австрия
-0,1136299	Мозамбик	Австрия
0,173790558	Монголия	Австрия
0,018037611	Мьянма	Австрия
-0,172910163	Намибия	Австрия
-0,003734606	Непал	Австрия
-0,030644731	Нигер	Австрия
-0,211822931	Нигерия	Австрия
0,72552327	Нидерланды	Австрия
-0,079832253	Никарагуа	Австрия
0,608291506	Новая Зеландия	Австрия
0,686034333	Норвегия	Австрия
-0,006303477	Объединенная Республика Танзания	Австрия
-0,044076515	Объединенные Арабские Эмираты	Австрия
0,094043309	Оман	Австрия
0,037144951	Пакистан	Австрия
0,226455463	Панама	Австрия
0,108689137	Папуа-Новая Гвинея	Австрия
0,157688381	Парагвай	Австрия
0,264019168	Перу	Австрия
0,524943193	Польша	Австрия
0,579685042	Португалия	Австрия
0,755057382	Республика Корея	Австрия
0,397936425	Республика Молдова	Австрия
0,678596588	Российская Федерация	Австрия
-0,13854319	Руанда	Австрия
0,51462224	Румыния	Австрия
0,110135088	Сальвадор	Австрия
0,107996128	Саудовская Аравия	Австрия
0,360864843	Северная Македония	Австрия
-0,152356584	Сенегал	Австрия
0,421964134	Сербия	Австрия
0,722088035	Сингапур	Австрия
0,752181493	Словакия	Австрия
0,640345985	Словения	Австрия
0,455882457	Соединенное Королевство Великобритании и Северной Ирландии	Австрия
0,200133363	Соединенные Штаты Америки	Австрия
-0,27370072	Таджикистан	Австрия
0,567937114	Таиланд	Австрия
-0,076650148	Того	Австрия
0,467678654	Тринидад и Тобаго	Австрия
0,569794158	Турция	Австрия
-0,057683131	Уганда	Австрия
0,799662819	Украина	Австрия
0,4974374	Уругвай	Австрия
-0,068385437	Фиджи	Австрия
0,071039179	Филиппины	Австрия
0,47506692	Финляндия	Австрия
0,5657212	Франция	Австрия
0,482921641	Хорватия	Австрия
0,544527294	Чехия	Австрия
0,732200933	Чили	Австрия
0,571315165	Швейцария	Австрия
0,237853394	Швеция	Австрия
-0,027487434	Шри-Ланка	Австрия
0,3272691	Эквадор	Австрия
0,728892269	Эстония	Австрия
-0,18398647	Южная Африка	Австрия
0,076174687	Ямайка	Австрия
0,802543234	Япония	Австрия
1	Азербайджан	Азербайджан
1	Аландских островов	Аландских островов
1	Албания	Албания
1	Алжир	Алжир
1	Американское Самоа	Американское Самоа
1	Ангилья	Ангилья
0,169184795	Австралия	Ангола
-0,059316714	Австрия	Ангола
1	Ангола	Ангола
0,166942714	Антигуа и Барбуда	Ангола
0,413142731	Аргентина	Ангола
0,568180879	Аруба	Ангола
-0,006010007	Афганистан	Ангола
0,317393316	Багамские Острова	Ангола
0,030648868	Бангладеш	Ангола
0,124825724	Барбадос	Ангола
0,028444195	Бахрейн	Ангола
0,018550909	Беларусь	Ангола
0,307895073	Белиз	Ангола
0,170683952	Бельгия	Ангола
0,071175043	Бенин	Ангола
0,199096867	Болгария	Ангола
0,345974554	Боливия (Многонациональное Государство)	Ангола
0,201242562	Босния и Герцеговина	Ангола
0,066232342	Ботсвана	Ангола
0,017577398	Бразилия	Ангола
0,277255071	Буркина-Фасо	Ангола
0,033838736	Венгрия	Ангола
0,150327992	Венесуэла (Боливарианская Республика)	Ангола
-0,048915472	Вьетнам	Ангола
0,182859362	Габон	Ангола
0,044020087	Гаити	Ангола
0,204411433	Гана	Ангола
0,155261893	Гватемала	Ангола
0,040288884	Гвинея-Бисау	Ангола
-0,056186346	Германия	Ангола
0,024344558	Гондурас	Ангола
0,341014366	Греция	Ангола
0,057553859	Грузия	Ангола
0,177922027	Дания	Ангола
0,305990467	Доминиканская Республика	Ангола
0,050466625	Египет	Ангола
0,531726965	Замбия	Ангола
0,180110192	Зимбабве	Ангола
0,12703006	Израиль	Ангола
0,196775768	Индия	Ангола
-0,067854253	Индонезия	Ангола
-0,00049047	Иордания	Ангола
0,061926016	Ирак	Ангола
0,414933262	Ирландия	Ангола
0,32026701	Испания	Ангола
0,316443347	Италия	Ангола
0,020814505	Йемен	Ангола
0,52621574	Кабо-Верде	Ангола
0,117686841	Казахстан	Ангола
0,108001649	Камбоджа	Ангола
0,05666226	Камерун	Ангола
0,532745136	Канада	Ангола
0,186192823	Катар	Ангола
0,508078652	Кения	Ангола
-0,079780024	Китай, Специальный административный район Гонконг	Ангола
0,201145506	Колумбия	Ангола
0,141681325	Коста-Рика	Ангола
0,452410538	Кот-д'Ивуар	Ангола
0,126695897	Кувейт	Ангола
0,032569107	Кыргызстан	Ангола
0,16263362	Лаосская Народно-Демократическая Республика	Ангола
-0,001229905	Латвия	Ангола
0,21178445	Ливан	Ангола
0,081637203	Ливия	Ангола
0,072054432	Литва	Ангола
0,080616912	Лихтенштейн	Ангола
0,172336726	Люксембург	Ангола
-0,005272741	Маврикий	Ангола
0,028531456	Малайзия	Ангола
0,384652805	Мали	Ангола
0,513505582	Мальта	Ангола
0,222887616	Марокко	Ангола
0,141233242	Мексика	Ангола
0,567510584	Мозамбик	Ангола
0,204337285	Монголия	Ангола
0,056618185	Мьянма	Ангола
0,156800858	Намибия	Ангола
0,202809061	Непал	Ангола
0,155882359	Нигер	Ангола
0,157293366	Нигерия	Ангола
0,036996146	Нидерланды	Ангола
0,060858641	Никарагуа	Ангола
-0,131314423	Новая Зеландия	Ангола
0,113007664	Норвегия	Ангола
0,081785388	Объединенная Республика Танзания	Ангола
0,201687878	Объединенные Арабские Эмираты	Ангола
-0,038034981	Оман	Ангола
0,053009802	Пакистан	Ангола
0,160914155	Панама	Ангола
0,026442418	Папуа-Новая Гвинея	Ангола
0,082041805	Парагвай	Ангола
0,114592539	Перу	Ангола
0,075303508	Польша	Ангола
0,202804055	Португалия	Ангола
-0,116330634	Республика Корея	Ангола
0,074383753	Республика Молдова	Ангола
-0,025820509	Российская Федерация	Ангола
0,409823526	Руанда	Ангола
0,077944862	Румыния	Ангола
-0,006128638	Сальвадор	Ангола
0,072142967	Саудовская Аравия	Ангола
0,192230088	Северная Македония	Ангола
0,112425665	Сенегал	Ангола
0,161660603	Сербия	Ангола
-0,090528721	Сингапур	Ангола
-0,041598813	Словакия	Ангола
0,111162339	Словения	Ангола
0,462631289	Соединенное Королевство Великобритании и Северной Ирландии	Ангола
0,440038222	Соединенные Штаты Америки	Ангола
-0,127949262	Таджикистан	Ангола
0,006030946	Таиланд	Ангола
0,482160562	Того	Ангола
0,224642212	Тринидад и Тобаго	Ангола
0,208831385	Турция	Ангола
0,169594733	Уганда	Ангола
-0,003948017	Украина	Ангола
0,178913293	Уругвай	Ангола
0,137179835	Фиджи	Ангола
0,304403617	Филиппины	Ангола
0,134314566	Финляндия	Ангола
0,305971211	Франция	Ангола
0,272924203	Хорватия	Ангола
0,030693385	Чехия	Ангола
-0,086203897	Чили	Ангола
0,165973009	Швейцария	Ангола
0,186505575	Швеция	Ангола
0,149660518	Шри-Ланка	Ангола
0,127269217	Эквадор	Ангола
0,039528936	Эстония	Ангола
0,119587283	Южная Африка	Ангола
0,304139722	Ямайка	Ангола
-0,095915659	Япония	Ангола
1	Андорра	Андорра
1	Антарктике	Антарктике
0,271658521	Австралия	Антигуа и Барбуда
0,142835887	Австрия	Антигуа и Барбуда
0,166942714	Ангола	Антигуа и Барбуда
1	Антигуа и Барбуда	Антигуа и Барбуда
0,319441586	Аргентина	Антигуа и Барбуда
0,248211939	Аруба	Антигуа и Барбуда
-0,036993087	Афганистан	Антигуа и Барбуда
0,286366595	Багамские Острова	Антигуа и Барбуда
0,132152413	Бангладеш	Антигуа и Барбуда
0,362405444	Барбадос	Антигуа и Барбуда
0,225760952	Бахрейн	Антигуа и Барбуда
0,184795425	Беларусь	Антигуа и Барбуда
0,307417541	Белиз	Антигуа и Барбуда
0,258808387	Бельгия	Антигуа и Барбуда
0,072173109	Бенин	Антигуа и Барбуда
0,31844928	Болгария	Антигуа и Барбуда
0,210850064	Боливия (Многонациональное Государство)	Антигуа и Барбуда
0,233276573	Босния и Герцеговина	Антигуа и Барбуда
0,058740956	Ботсвана	Антигуа и Барбуда
0,224403232	Бразилия	Антигуа и Барбуда
0,1853128	Буркина-Фасо	Антигуа и Барбуда
0,199853161	Венгрия	Антигуа и Барбуда
0,323954395	Венесуэла (Боливарианская Республика)	Антигуа и Барбуда
-0,001895492	Вьетнам	Антигуа и Барбуда
0,090474043	Габон	Антигуа и Барбуда
0,071905385	Гаити	Антигуа и Барбуда
0,094981448	Гана	Антигуа и Барбуда
0,25963728	Гватемала	Антигуа и Барбуда
0,080788543	Гвинея-Бисау	Антигуа и Барбуда
0,134110302	Германия	Антигуа и Барбуда
0,015037097	Гондурас	Антигуа и Барбуда
0,252542614	Греция	Антигуа и Барбуда
0,271289513	Грузия	Антигуа и Барбуда
0,326552973	Дания	Антигуа и Барбуда
0,32115569	Доминиканская Республика	Антигуа и Барбуда
0,133859829	Египет	Антигуа и Барбуда
0,108555464	Замбия	Антигуа и Барбуда
0,005931032	Зимбабве	Антигуа и Барбуда
0,473107968	Израиль	Антигуа и Барбуда
0,127960938	Индия	Антигуа и Барбуда
0,007728374	Индонезия	Антигуа и Барбуда
0,190706948	Иордания	Антигуа и Барбуда
0,067168245	Ирак	Антигуа и Барбуда
0,23754703	Ирландия	Антигуа и Барбуда
0,186920508	Испания	Антигуа и Барбуда
0,343129996	Италия	Антигуа и Барбуда
0,226746444	Йемен	Антигуа и Барбуда
0,184802036	Кабо-Верде	Антигуа и Барбуда
0,201458074	Казахстан	Антигуа и Барбуда
0,048590322	Камбоджа	Антигуа и Барбуда
0,017815742	Камерун	Антигуа и Барбуда
0,232821056	Канада	Антигуа и Барбуда
0,26279283	Катар	Антигуа и Барбуда
0,064912177	Кения	Антигуа и Барбуда
-0,038451905	Китай, Специальный административный район Гонконг	Антигуа и Барбуда
0,073506189	Колумбия	Антигуа и Барбуда
0,20038242	Коста-Рика	Антигуа и Барбуда
0,141587637	Кот-д'Ивуар	Антигуа и Барбуда
0,271863534	Кувейт	Антигуа и Барбуда
-0,024096274	Кыргызстан	Антигуа и Барбуда
0,094526914	Лаосская Народно-Демократическая Республика	Антигуа и Барбуда
0,233316023	Латвия	Антигуа и Барбуда
0,299633277	Ливан	Антигуа и Барбуда
0,181782671	Ливия	Антигуа и Барбуда
0,279077176	Литва	Антигуа и Барбуда
0,178849455	Лихтенштейн	Антигуа и Барбуда
0,213495144	Люксембург	Антигуа и Барбуда
0,01767206	Маврикий	Антигуа и Барбуда
0,111821665	Малайзия	Антигуа и Барбуда
0,258007483	Мали	Антигуа и Барбуда
0,160202418	Мальта	Антигуа и Барбуда
0,190527803	Марокко	Антигуа и Барбуда
0,23572486	Мексика	Антигуа и Барбуда
0,113161081	Мозамбик	Антигуа и Барбуда
0,357061035	Монголия	Антигуа и Барбуда
0,030192484	Мьянма	Антигуа и Барбуда
-0,039794478	Намибия	Антигуа и Барбуда
0,09815249	Непал	Антигуа и Барбуда
0,057579466	Нигер	Антигуа и Барбуда
0,023847487	Нигерия	Антигуа и Барбуда
0,169209143	Нидерланды	Антигуа и Барбуда
0,033081666	Никарагуа	Антигуа и Барбуда
-0,035229875	Новая Зеландия	Антигуа и Барбуда
0,320543807	Норвегия	Антигуа и Барбуда
0,181087033	Объединенная Республика Танзания	Антигуа и Барбуда
0,119656974	Объединенные Арабские Эмираты	Антигуа и Барбуда
0,048627444	Оман	Антигуа и Барбуда
0,153338146	Пакистан	Антигуа и Барбуда
0,326488221	Панама	Антигуа и Барбуда
